,date,vader_prediction,sentiment,close_price,delta_close_price
0,2021-01-02,0.18332,positive,0.010714,-7.3999999999999995
1,2021-01-03,-0.0362,neutral,0.009979,-7.3999999999999995
2,2021-01-04,0.01100000000000001,neutral,0.009798,-1.7999999999999998
3,2021-01-05,0.1836625,positive,0.010004,2.1
4,2021-01-06,0.2001375,positive,0.010501,4.7
5,2021-01-07,0.020555555555555556,neutral,0.009788,-7.3
6,2021-01-08,0.050066666666666655,positive,0.009787,-0.0
7,2021-01-09,0.5106,positive,0.010232,4.3
8,2021-01-10,0.130125,positive,0.009826,-4.1000000000000005
9,2021-01-11,0.021824999999999997,neutral,0.008805,-11.600000000000001
10,2021-01-12,0.06274444444444444,positive,0.008063,-9.2
11,2021-01-13,0.059533333333333334,positive,0.008742,7.8
12,2021-01-14,0.11177000000000001,positive,0.00942,7.199999999999999
13,2021-01-15,0.1839375,positive,0.009379,-0.4
14,2021-01-16,0.0,neutral,0.009273,-1.0999999999999999
15,2021-01-17,0.286875,positive,0.009133,-1.5
16,2021-01-18,0.2029125,positive,0.009173,0.4
17,2021-01-19,0.12044000000000002,positive,0.009068,-1.2
18,2021-01-20,0.1885222222222222,positive,0.00905,-0.2
19,2021-01-21,-0.045533333333333335,neutral,0.008142,-11.200000000000001
20,2021-01-22,-0.09938,negative,0.008541,4.7
21,2021-01-23,-0.056025000000000005,negative,0.008607,0.8
22,2021-01-24,0.3399,positive,0.008718,1.3
23,2021-01-25,0.011774999999999994,neutral,0.008365,-4.2
24,2021-01-26,0.028580000000000005,neutral,0.008222,-1.7000000000000002
25,2021-01-27,-0.11837142857142857,negative,0.007442,-10.5
26,2021-01-28,0.04465555555555555,neutral,0.038939,80.9
27,2021-01-29,-0.011589999999999998,neutral,0.045827,15.0
28,2021-01-30,-0.1902,negative,0.028169,-62.7
29,2021-01-31,-0.10424285714285715,negative,0.036105,22.0
30,2021-02-01,0.16454,positive,0.034823,-3.6999999999999997
