,Date,Coin,Price,Volume,Market_Cap
0,2020-09-17,binancecoin,27.85508077250597,711704644.2212099,4122357757.56389
1,2020-09-17,bitcoin,10952.249969107099,24459086808.776905,202524001250.4926
2,2020-09-17,cardano,0.09129471151418299,681410813.8679094,2842675715.2577634
3,2020-09-17,dogecoin,0.0028203927223588955,155392568.24782863,356002618.9515897
4,2020-09-17,ethereum,365.13055081164816,13298202038.469078,41136175614.140686
5,2020-09-17,polkadot,5.075261806582743,272070780.6235744,4634502327.79378
6,2020-09-17,ripple,0.24721681201776985,1770612287.3259656,11135223431.648582
7,2020-09-17,solana,2.5494654060917625,24795333.687555198,94070098.59695262
8,2020-09-17,uniswap,3.443832391414463,1802085330.293668,219913212.47869825
9,2020-09-18,binancecoin,26.791783085251982,425105137.0244049,3959528315.0560274
10,2020-09-18,bitcoin,10937.996396960929,23547167125.342415,202358479464.18542
11,2020-09-18,cardano,0.09403597862335263,655152123.786252,2926254190.2876606
12,2020-09-18,dogecoin,0.0028164931812741205,170633292.3412527,355887623.24609375
13,2020-09-18,ethereum,388.7974562319938,16748693289.537083,43828530075.491394
14,2020-09-18,polkadot,5.323352024016255,299530704.44409996,4871310608.622429
15,2020-09-18,ripple,0.25188079438064914,2004021133.6144068,11385313831.484951
16,2020-09-18,solana,2.919199303305689,21791980.63219644,107329192.55976476
17,2020-09-18,uniswap,3.443832391414463,1802085330.293668,219913212.47869825
18,2020-09-19,binancecoin,27.09515766101024,406378803.9085718,3976466685.154942
19,2020-09-19,bitcoin,10927.150310293275,20681771888.399273,202091264904.96927
20,2020-09-19,cardano,0.09086106367043356,585526141.405035,2816775563.1351695
21,2020-09-19,dogecoin,0.002780666802734895,155984975.18612808,351370413.6584459
22,2020-09-19,ethereum,383.17286599152135,9883257470.927006,43009572687.415535
23,2020-09-19,polkadot,5.242095138770248,218845784.12899387,4771593286.01857
24,2020-09-19,ripple,0.2500861615516868,1869517172.4901931,11264465645.812262
25,2020-09-19,solana,3.084079827098842,22533255.903117426,115398247.16683203
26,2020-09-19,uniswap,7.097694014200204,5688408416.882498,732822061.0330778
27,2020-09-20,binancecoin,27.202934633274253,350612365.6065321,4024066272.6573086
28,2020-09-20,bitcoin,11083.99836119821,18334274060.30012,204994315602.9869
29,2020-09-20,cardano,0.09156776201769849,551088156.8335764,2849152837.374013
30,2020-09-20,dogecoin,0.002786581895840216,157760533.21510443,352026916.7563978
31,2020-09-20,ethereum,385.4721234936851,11046298234.18736,43455110863.06883
32,2020-09-20,polkadot,4.924359684930011,180793689.67015743,4511663057.978728
33,2020-09-20,ripple,0.25188767319648075,1705001457.9575903,11350057025.953384
34,2020-09-20,solana,3.0147288973338715,10943760.457857545,113066182.9422364
35,2020-09-20,uniswap,5.702060553834949,2050756493.492213,647208421.0707141
36,2020-09-21,binancecoin,26.429360501624764,370273177.6034905,3891106120.858083
37,2020-09-21,bitcoin,10923.32666818137,20161733906.963223,202032519471.26855
38,2020-09-21,cardano,0.08924604426453794,560728729.510593,2788163196.0504737
39,2020-09-21,dogecoin,0.002771604817924343,165563595.52312505,350172659.2546802
40,2020-09-21,ethereum,370.9678951624775,11369621273.059267,41929980576.65271
41,2020-09-21,polkadot,4.673545848129287,277405320.53644466,4287331139.3953447
42,2020-09-21,ripple,0.24639633759934934,1633405640.589034,11108885769.40159
43,2020-09-21,solana,2.8679582577061704,9294739.741029434,107485223.20908946
44,2020-09-21,uniswap,5.2565793825170735,1316669226.584856,632421347.516945
45,2020-09-22,binancecoin,23.533250188050296,423273273.27081376,3493931691.129836
46,2020-09-22,bitcoin,10439.522488792423,23757059692.357033,193677795064.08533
47,2020-09-22,cardano,0.08036695005952045,504270732.8337734,2513123717.740511
48,2020-09-22,dogecoin,0.002620975320345056,129491987.07398969,332685818.3450885
49,2020-09-22,ethereum,341.27713087183076,14837815989.716738,38695806846.97656
50,2020-09-22,polkadot,4.089749652347997,376122862.04748017,3770969365.206551
51,2020-09-22,ripple,0.23165657547696566,2007044758.6876988,10487928992.66827
52,2020-09-22,solana,2.77366022930038,19270693.968702458,105132421.8250733
53,2020-09-22,uniswap,4.294819485815088,1074198632.0904953,526520586.45950305
54,2020-09-23,binancecoin,24.026975887077135,378103488.0063865,3535552468.393081
55,2020-09-23,bitcoin,10527.58784673943,19866578108.977962,194731087415.28983
56,2020-09-23,cardano,0.08144309751741197,359254513.48018813,2528466247.7737017
57,2020-09-23,dogecoin,0.0026461759279471954,109840858.13876617,333107659.33406585
58,2020-09-23,ethereum,343.9175471009491,11967106210.545612,38679912764.2938
59,2020-09-23,polkadot,4.168355680932848,207312314.25066918,3807699809.7726593
60,2020-09-23,ripple,0.2331628823635652,1595971759.2937121,10492066944.17281
61,2020-09-23,solana,2.9402155138255073,18874481.49614106,110996725.68154047
62,2020-09-23,uniswap,3.9084488115362754,697928916.822781,487186362.8207511
63,2020-09-24,binancecoin,22.810300091418643,347342769.967389,3373414662.270313
64,2020-09-24,bitcoin,10223.784106392732,19981974722.351273,189120580778.46335
65,2020-09-24,cardano,0.07662771823467814,339256966.55460995,2387518228.7759247
66,2020-09-24,dogecoin,0.0025417160554423958,87446068.03807968,321232114.94339186
67,2020-09-24,ethereum,321.0774351739628,9839917613.109154,36239170986.342445
68,2020-09-24,polkadot,4.0160363563658406,208272484.1319433,3701917991.0629163
69,2020-09-24,ripple,0.220603415902742,1403281426.5600727,9962004555.544462
70,2020-09-24,solana,2.8355005874806776,14564763.145004692,107801478.99659243
71,2020-09-24,uniswap,4.342896875450136,976430280.4460803,558449301.5904285
