date,bitcoin_price,bitcoin_market_cap,bitcoin_total_volume,dogecoin_price,dogecoin_market_cap,dogecoin_total_volume
04/09/2020,7342.291601148024,134518720640.0234,38922547592.862114,0.002013396530563638,250042291.8720743,127878282.27265082
04/10/2020,7294.488875121554,133598651281.71776,34921486435.060486,0.002023642276731532,251097766.85961297,123549292.19990523
04/11/2020,6864.694257006497,125740858699.27551,37828011010.9016,0.0019553233303981183,242951200.60039186,134671135.2782357
04/12/2020,6878.781212589853,125980543742.36499,30280054180.28837,0.001994546570749971,247542049.6224454,128506937.97806722
04/13/2020,6913.158787469097,126655463658.31227,34544392366.04943,0.0019755809975130216,245455791.60917032,128335738.508342
04/14/2020,6857.538537511484,125651103790.21225,38062368291.08157,0.0019595481447037956,243252945.76404834,129649088.18245052
04/15/2020,6860.17853570111,125713883015.64563,33837365577.44977,0.001966765144754284,244175467.4950874,124216047.95923096
04/16/2020,6629.431738031291,121499498109.80829,29692916171.011845,0.0019456332046218555,241578570.51711214,131684089.34708843
04/17/2020,7059.92622475854,129402884477.95892,45752002264.274315,0.0020228472522372696,251193747.3276439,146472116.75338238
04/18/2020,7035.261503989225,128961704237.38853,31701906839.621475,0.0019996019927732,248334765.9740806,121729852.72641443
04/19/2020,7242.5109294929825,132775323305.43571,30035235468.3311,0.002060906328302543,255976766.62735203,127629256.47500652
04/20/2020,7127.511949689152,130680700686.31035,29714765522.325314,0.0020374519148369597,253091749.62067482,127839052.89204004
04/21/2020,6856.456278354705,125724610427.89977,35276609104.457115,0.0019746003894539786,245311641.0820963,129791433.25304659
04/22/2020,6842.038597634602,125473149029.1152,30093303601.39072,0.001960256003534966,243556559.77759254,124397419.90261082
04/23/2020,7109.995291181778,130398643209.39326,30819547915.3444,0.0020074003477411153,249659994.30066794,126033359.24454379
04/24/2020,7382.793144116689,135414822709.73111,41032858925.23595,0.002051379334935476,254935165.8005704,140105892.3642261
04/25/2020,7495.393587498606,137493716065.4006,33233126912.999897,0.0020691235664587787,257168786.5180828,161596051.33861956
04/26/2020,7538.557687279841,138298135122.85803,31610167152.118294,0.0021183725357343166,263319084.55648935,179689638.1780725
04/27/2020,7683.867415083342,140977260141.33173,33760863612.125053,0.002322765643186987,288757849.4579052,233725625.080251
04/28/2020,7774.281554448049,142649802462.8293,35205525351.89531,0.002388485226263917,296960896.54383695,224244998.5341308
04/29/2020,7758.230255185947,142370212777.1421,32855687796.969097,0.0023244431996874305,289030583.1637483,200283719.69553015
04/30/2020,8744.430287016561,160483573440.17792,60399592065.54053,0.002557959586873465,318102189.9086037,242370965.82979512
05/01/2020,8610.63580374089,158042623264.3916,65838312160.09067,0.0024423116160898714,303753871.59630835,235092727.59249502
05/02/2020,8824.818413551968,161989355178.82224,44773967197.55202,0.0024890040164181706,309595787.45347303,219094154.08480555
05/03/2020,8966.307014689282,164603123455.99927,39177855720.33245,0.0025320685840475184,315929917.6270776,206828067.27229145
05/04/2020,8888.671912686868,163036842346.68604,45617019157.37323,0.0025147017407102954,312847194.48816675,206286035.23812678
05/05/2020,8884.407813577056,162341412439.88123,44698213713.39127,0.0024859570971615783,307805818.74492526,202161479.34707013
05/06/2020,9003.240557621584,165335617639.04947,43436234291.97107,0.002492679926068163,310190099.1707827,191425230.39362994
05/07/2020,9144.68703972007,167950864937.1468,48538811466.802704,0.002515865355671929,313109921.02338296,194670688.82242593
05/08/2020,9959.166416261767,182927847431.44946,61712313964.69186,0.0026795755607618133,333521246.82060003,231863021.6014279
05/09/2020,9821.81131529702,180421762956.3486,50955646313.40579,0.002610648868243647,325727926.6156065,233587352.8328149
05/10/2020,9566.777187205966,175752574354.63544,46706541180.09866,0.002580034050146067,321346729.6707498,232331569.78586742
05/11/2020,8752.617087745832,160814678353.7077,61704475184.53314,0.002431493137807546,302726858.91509694,232503916.47255927
05/12/2020,8604.75159101983,158113540964.46692,57996080837.490005,0.002414175085955832,300604018.9765633,225533469.66592544
05/13/2020,8788.466749414652,161474125336.405,39515455755.72524,0.00246437921702702,306504298.82334745,203607474.54131982
05/14/2020,9283.08601265873,170593350055.82486,44239951916.52319,0.002552333081264038,317877729.3660128,211321832.63797155
05/15/2020,9796.494527024528,179398095871.3398,52076585310.72393,0.0026081946608221976,325137727.16545933,230680148.75764883
05/16/2020,9309.29535940684,170983863891.47488,44866846516.37974,0.0024727558171709174,308034839.7949836,198862295.41764167
05/17/2020,9375.29710843331,172309401206.74423,34146492788.290554,0.002515121829380273,313347148.85096204,194713613.44986424
05/18/2020,9666.32719340344,177224284369.1316,35650032953.969925,0.0025597853187136225,318304381.77228457,198445361.81293124
05/19/2020,9708.439858793108,178446153576.46417,38922896809.95441,0.002544594372749391,316949353.4375354,206083120.89024433
05/20/2020,9760.198937162193,179127815802.66245,37077538114.72087,0.00254643804449757,317354537.6796903,122220132.33541103
05/21/2020,9526.50759300584,175227227252.9058,34829170074.82492,0.0024920273261715502,310868150.8311389,116334207.78770015
05/22/2020,9059.962506871727,166569335290.8396,35965016693.72406,0.002417488670197314,302016245.62339747,135564016.30217594
05/23/2020,9131.767275081993,168309812992.5134,27700943119.83718,0.0025213071058175353,314467655.8578066,142767321.29591206
05/24/2020,9170.361063506127,168614573110.75775,26159735072.083897,0.0025323838634566417,315817593.94478947,139842299.82392925
05/25/2020,8731.848525870651,161407638875.36517,29437505507.203728,0.002425809080825033,303756922.6593678,118180701.6397779
05/26/2020,8883.691769863415,163333743988.58344,29130957734.103832,0.0025012589481197695,311963042.24932,150073653.84341142
05/27/2020,8839.130663273247,162547226896.53772,26860828302.61543,0.00250776468796376,312807914.2166725,125833705.39194497
05/28/2020,9174.118563996424,168615778509.82266,28916177009.890633,0.0025511189660194526,318220492.3931817,135729333.6834608
05/29/2020,9546.04563503715,175534414971.32306,31771100326.33337,0.0025653471644010253,320030360.61247617,159726412.0763231
05/30/2020,9427.120373393418,173355014878.4796,28880265574.932682,0.0025013839495645635,312085297.51217985,135246773.45676783
05/31/2020,9662.70587254818,177978616382.68933,30231487421.644287,0.002604939098628144,325041563.11523974,126050717.5911127
06/01/2020,9466.961781429516,174105710752.04755,27396663221.152317,0.00255485751372599,319088845.3079224,121116975.44298244
06/02/2020,10167.93069332851,186932702065.96875,33702539853.509113,0.0027022699275434546,337261368.9984751,131305278.95816353
06/03/2020,9515.243858655718,175463166971.51956,36841150778.6441,0.00252569849980592,315259162.21302235,131645486.66120732
06/04/2020,9645.227869360308,177416480472.83005,25222025158.95508,0.0025928931066212997,323695648.0974408,119884831.40027268
06/05/2020,9776.20299178848,179830985954.85498,24903069188.397156,0.002608096329469731,325652126.62886024,123499973.3875561
06/06/2020,9636.965527050057,177373937377.29663,23447982002.19483,0.0025856228854611372,322847909.87596095,126285010.67512205
06/07/2020,9662.858709002241,177901732349.93213,19374357195.06036,0.0025843731472846077,322823373.1550713,113261241.697058
06/08/2020,9738.603356828593,179167717944.46164,23856639264.762486,0.002598059680539009,324470527.23822725,127789278.61951178
06/09/2020,9773.02951309516,179810911053.20026,21154971285.09144,0.0025789478786450593,322119177.618313,116658893.07783423
06/10/2020,9767.00531665552,179709840753.7975,22844271951.206215,0.0025570123462542306,319414770.35955983,110545343.9979969
06/11/2020,9874.898681832236,181705166673.57462,24398738299.650776,0.0025792494399420195,322228412.19723344,120182402.6510263
