,Date,Day,Month,Quarter,CSI,gallup_banks,gallup_bigbiz,gallup_police,gallup_pres,CPI,GDP
1045,2016-09-21,2,9,3.0,88.53333333333333,28.123287671232877,18.673972602739727,56.224657534246575,35.1013698630137,1.5666666666666667,1.9541909836065574
1046,2016-09-22,3,9,3.0,88.4,28.136986301369863,18.682191780821917,56.227397260273975,35.09041095890411,1.57,1.9513524590163933
1047,2016-09-23,4,9,3.0,88.26666666666667,28.15068493150685,18.69041095890411,56.23013698630137,35.07945205479452,1.5733333333333335,1.9485139344262294
1048,2016-09-24,5,9,3.0,88.13333333333334,28.164383561643834,18.698630136986303,56.23287671232877,35.06849315068493,1.5766666666666667,1.9456754098360656
1049,2016-09-25,6,9,3.0,88.0,28.17808219178082,18.706849315068492,56.23561643835617,35.057534246575344,1.58,1.9428368852459017
1050,2016-09-26,0,9,3.0,87.86666666666667,28.19178082191781,18.715068493150685,56.23835616438356,35.04657534246575,1.5833333333333335,1.9399983606557378
1051,2016-09-27,1,9,3.0,87.73333333333333,28.205479452054796,18.723287671232878,56.24109589041096,35.035616438356165,1.5866666666666667,1.937159836065574
1052,2016-09-28,2,9,3.0,87.60000000000001,28.21917808219178,18.731506849315068,56.24383561643835,35.02465753424657,1.59,1.9343213114754099
1053,2016-09-29,3,9,3.0,87.46666666666667,28.232876712328768,18.73972602739726,56.24657534246575,35.013698630136986,1.5933333333333335,1.9314827868852458
1054,2016-09-30,4,9,3.0,87.33333333333334,28.246575342465754,18.747945205479454,56.24931506849315,35.0027397260274,1.5966666666666667,1.928644262295082
1055,2016-10-01,5,10,4.0,87.2,28.26027397260274,18.756164383561643,56.25205479452055,34.99178082191781,1.6,1.925805737704918
1056,2016-10-02,6,10,4.0,87.41290322580646,28.273972602739725,18.764383561643836,56.25479452054795,34.98082191780822,1.603225806451613,1.9229672131147542
1057,2016-10-03,0,10,4.0,87.6258064516129,28.28767123287671,18.77260273972603,56.25753424657534,34.96986301369863,1.6064516129032258,1.9201286885245903
1058,2016-10-04,1,10,4.0,87.83870967741936,28.301369863013697,18.78082191780822,56.26027397260274,34.95890410958904,1.6096774193548389,1.9172901639344264
1059,2016-10-05,2,10,4.0,88.0516129032258,28.315068493150683,18.78904109589041,56.26301369863014,34.94794520547945,1.6129032258064517,1.9144516393442623
1060,2016-10-06,3,10,4.0,88.26451612903226,28.328767123287673,18.797260273972604,56.26575342465753,34.93698630136986,1.6161290322580646,1.9116131147540982
1061,2016-10-07,4,10,4.0,88.47741935483872,28.34246575342466,18.805479452054794,56.26849315068493,34.92602739726027,1.6193548387096774,1.9087745901639344
1062,2016-10-08,5,10,4.0,88.69032258064516,28.356164383561644,18.813698630136987,56.271232876712325,34.915068493150685,1.6225806451612903,1.9059360655737705
1063,2016-10-09,6,10,4.0,88.90322580645162,28.36986301369863,18.82191780821918,56.273972602739725,34.9041095890411,1.6258064516129034,1.9030975409836066
1064,2016-10-10,0,10,4.0,89.11612903225807,28.383561643835616,18.83013698630137,56.276712328767125,34.893150684931506,1.6290322580645162,1.9002590163934427
1065,2016-10-11,1,10,4.0,89.32903225806452,28.397260273972602,18.838356164383562,56.27945205479452,34.88219178082192,1.632258064516129,1.8974204918032789
1066,2016-10-12,2,10,4.0,89.54193548387097,28.410958904109588,18.846575342465755,56.28219178082192,34.87123287671233,1.635483870967742,1.8945819672131148
1067,2016-10-13,3,10,4.0,89.75483870967741,28.424657534246574,18.854794520547944,56.28493150684932,34.86027397260274,1.6387096774193548,1.8917434426229507
1068,2016-10-14,4,10,4.0,89.96774193548387,28.438356164383563,18.863013698630137,56.28767123287671,34.84931506849315,1.6419354838709679,1.8889049180327868
1069,2016-10-15,5,10,4.0,90.18064516129033,28.45205479452055,18.87123287671233,56.29041095890411,34.83835616438356,1.6451612903225807,1.886066393442623
1070,2016-10-16,6,10,4.0,90.39354838709677,28.465753424657535,18.87945205479452,56.293150684931504,34.82739726027397,1.6483870967741936,1.883227868852459
1071,2016-10-17,0,10,4.0,90.60645161290323,28.47945205479452,18.887671232876713,56.295890410958904,34.81643835616438,1.6516129032258065,1.8803893442622952
1072,2016-10-18,1,10,4.0,90.81935483870967,28.493150684931507,18.895890410958906,56.298630136986304,34.8054794520548,1.6548387096774193,1.8775508196721313
1073,2016-10-19,2,10,4.0,91.03225806451613,28.506849315068493,18.904109589041095,56.3013698630137,34.794520547945204,1.6580645161290322,1.8747122950819672
1074,2016-10-20,3,10,4.0,91.24516129032259,28.52054794520548,18.912328767123288,56.3041095890411,34.78356164383562,1.6612903225806452,1.8718737704918031
