,Ticker,percentile_0.5,Accuracy,TP_rate,TN_rate,Pos_Predicted_Value,Neg_Predicted_Value
0,BTC-USD,0.0640928271216884,0.5422163588390502,0.8390501319261213,0.24538258575197888,0.5264900662251656,0.6038961038961039
1,GLD,0.003983747207028765,0.5184696569920845,0.6701846965699209,0.36675461741424803,0.5141700404858299,0.5265151515151515
2,SLV,-0.0032331196552394803,0.5,0.8601583113456465,0.13984168865435356,0.5,0.5
3,CL=F,0.02040807408658618,0.5593667546174143,0.39313984168865435,0.7255936675461742,0.5889328063241107,0.5445544554455446
4,VIXY,-0.12354833738303161,0.5026385224274407,0.43007915567282323,0.575197889182058,0.5030864197530864,0.5023041474654378
5,^IXIC,0.023172343074286728,0.5461741424802111,0.7071240105540897,0.38522427440633245,0.5349301397205589,0.5680933852140078
6,^GSPC,0.01937347823305091,0.5013192612137203,0.35092348284960423,0.6517150395778364,0.5018867924528302,0.5010141987829615
7,^DJI,0.016127304401343245,0.48548812664907653,0.12928759894459102,0.841688654353562,0.44954128440366975,0.4915254237288136
8,META,0.02921665734714729,0.47493403693931396,0.17678100263852242,0.7730870712401056,0.43790849673202614,0.484297520661157
9,AMZN,0.03341527495382923,0.5158311345646438,0.38786279683377306,0.6437994722955145,0.5212765957446809,0.5126050420168067
10,AAPL,0.03610964021195662,0.5277044854881267,0.49076517150395776,0.5646437994722955,0.5299145299145299,0.5257985257985258
11,NFLX,0.045265822454672366,0.5131926121372031,0.37994722955145116,0.6464379947229552,0.5179856115107914,0.5104166666666666
12,GOOG,0.02634861167857494,0.5382585751978892,0.32717678100263853,0.7493403693931399,0.5662100456621004,0.5269016697588126
13,TSLA,0.02240799662323223,0.5052770448548812,0.036939313984168866,0.9736147757255936,0.5833333333333334,0.502724795640327
14,JPM,0.02729591261993891,0.5277044854881267,0.5408970976253298,0.5145118733509235,0.5269922879177378,0.5284552845528455
15,WFC,0.004600359879386673,0.5395778364116095,0.46174142480211083,0.6174142480211082,0.546875,0.5342465753424658
16,C,0.020833511263217863,0.503957783641161,0.46965699208443273,0.5382585751978892,0.5042492917847026,0.5037037037037037
17,BAC,0.02819626714778989,0.46965699208443273,0.1503957783641161,0.7889182058047494,0.41605839416058393,0.48148148148148145
18,UUP,0.005242112993057546,0.49868073878627966,0.9102902374670184,0.0870712401055409,0.4992764109985528,0.4925373134328358
19,IEF,0.0023631043920255834,0.5092348284960422,0.9841688654353562,0.03430079155672823,0.5047361299052774,0.6842105263157895
