Date,BTC-USD_Close,CL=F_Close,COIN_Close,ES=F_Close,ETH-USD_Close,EURUSD=X_Close,GLD_Close,NQ=F_Close,SLV_Close,XLF_Close,^CMC200_Close,^TNX_Close,^VIX_Close,^CMC200_Open,^TNX_Open,^VIX_Open,BTC-USD_Volume,CL=F_Volume,COIN_Volume,ES=F_Volume,ETH-USD_Volume,EURUSD=X_Volume,GLD_Volume,NQ=F_Volume,SLV_Volume,XLF_Volume
2019-12-01,7424.29248046875,,,,151.18572998046875,,,,,,,,,,,,18720708479.0,,,,7102780298.0,,,,,
2019-12-02,7321.98828125,55.959999084472656,,3114.25,149.0591583251953,1.1019041538238525,137.7899932861328,8316.0,15.800000190734863,29.959999084472656,149.2310028076172,1.8359999656677246,14.90999984741211,151.00100708007812,1.8329999446868896,12.6899995803833,17082040706.0,616423.0,,1927030.0,6670561362.0,0.0,8274700.0,559474.0,9176400.0,52427800.0
2019-12-03,7320.1455078125,56.099998474121094,,3091.0,147.9564208984375,1.1079105138778687,139.11000061035156,8251.25,16.049999237060547,29.540000915527344,149.49899291992188,1.7089999914169312,15.960000038146973,149.49400329589844,1.7879999876022339,14.680000305175781,14797485769.0,560554.0,,2146620.0,6204379850.0,0.0,8481700.0,614317.0,13075000.0,66912000.0
2019-12-04,7252.03466796875,58.43000030517578,,3111.0,146.74774169921875,1.1085245609283447,138.9199981689453,8295.25,15.760000228881836,29.81999969482422,146.83099365234375,1.781000018119812,14.800000190734863,149.31700134277344,1.7330000400543213,16.3799991607666,21664240918.0,760541.0,,1485940.0,7865937094.0,0.0,6322300.0,413647.0,15133700.0,41793900.0
2019-12-05,7448.3076171875,58.43000030517578,,3117.75,149.24899291992188,1.108303427696228,139.0,8309.25,15.850000381469727,29.959999084472656,150.0030059814453,1.7970000505447388,14.520000457763672,147.70700073242188,1.7719999551773071,14.460000038146973,18816085231.0,649461.0,,1318780.0,6745910228.0,0.0,5671500.0,370987.0,9086900.0,44933500.0
2019-12-06,7546.99658203125,59.20000076293945,,3146.0,149.19444274902344,1.1105434894561768,137.6199951171875,8400.25,15.479999542236328,30.360000610351562,151.77999877929688,1.8420000076293945,13.619999885559082,151.23800659179688,1.7949999570846558,14.369999885559082,18104466307.0,679609.0,,1300299.0,6458766441.0,0.0,8714500.0,302782.0,19251900.0,40811300.0
2019-12-07,7556.23779296875,59.20000076293945,,3146.0,148.76815795898438,1.1105434894561768,137.6199951171875,8400.25,15.479999542236328,30.360000610351562,151.77999877929688,1.8420000076293945,13.619999885559082,151.23800659179688,1.7949999570846558,14.369999885559082,15453520564.0,679609.0,,1300299.0,5911233284.0,0.0,8714500.0,302782.0,19251900.0,40811300.0
2019-12-08,7564.34521484375,59.20000076293945,,3146.0,151.2647247314453,1.1105434894561768,137.6199951171875,8400.25,15.479999542236328,30.360000610351562,151.77999877929688,1.8420000076293945,13.619999885559082,151.23800659179688,1.7949999570846558,14.369999885559082,15409908086.0,679609.0,,1300299.0,6441727252.0,0.0,8714500.0,302782.0,19251900.0,40811300.0
2019-12-09,7400.8994140625,59.02000045776367,,3134.5,148.2251739501953,1.105888843536377,137.5800018310547,8356.0,15.5,30.290000915527344,150.4550018310547,1.8289999961853027,15.859999656677246,153.35499572753906,1.8279999494552612,14.25,17872021272.0,511561.0,,1145426.0,6744206747.0,0.0,2711600.0,292419.0,6661200.0,21627500.0
2019-12-10,7278.11962890625,59.2400016784668,,3136.0,146.2670440673828,1.106499433517456,137.97000122070312,8363.75,15.569999694824219,30.299999237060547,147.63800048828125,1.8329999446868896,15.680000305175781,149.8159942626953,1.809999942779541,15.800000190734863,18249031195.0,566822.0,,1425723.0,6859512025.0,0.0,3240800.0,403364.0,5864300.0,37362100.0
