Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
2/11/2021,positive,0.07008,-3.8,40,0.050977778
2/12/2021,neutral,0.069762,-0.5,41,0.011028571
2/13/2021,positive,0.06643,-5,42,0.085688889
2/14/2021,neutral,0.062331,-6.6,43,0.037716667
2/15/2021,positive,0.056512,-10.3,44,0.155114286
2/16/2021,neutral,0.053506,-5.6,45,0.00333
2/17/2021,positive,0.049347,-8.4,46,0.11436
2/18/2021,negative,0.059107,16.5,47,-0.0851375
2/19/2021,positive,0.055193,-7.1,48,0.182555556
2/20/2021,positive,0.054536,-1.2,49,0.215475
2/21/2021,negative,0.056208,3,50,-0.199771429
2/22/2021,neutral,0.053632,-4.8,51,-0.011411111
2/23/2021,positive,0.047699,-12.4,52,0.170944444
2/24/2021,neutral,0.056905,16.2,53,0.01688
2/25/2021,positive,0.050231,-13.3,54,0.22415
2/26/2021,neutral,0.050507,0.5,55,0.02993
2/27/2021,negative,0.050162,-0.7,56,-0.0836875
2/28/2021,negative,0.048475,-3.5,57,-0.111283333
3/1/2021,positive,0.050777,4.5,58,0.0682125
3/2/2021,positive,0.050308,-0.9,59,0.050775
3/3/2021,negative,0.05062,0.6,60,-0.0817
3/4/2021,positive,0.049912,-1.4,61,0.074177778
3/5/2021,positive,0.049794,-0.2,62,0.17028
3/6/2021,negative,0.050886,2.1,63,-0.064066667
3/7/2021,negative,0.051842,1.8,64,-0.1366
3/8/2021,neutral,0.063319,18.1,65,0.03818
3/9/2021,positive,0.057914,-9.3,66,0.1305875
3/10/2021,positive,0.055901,-3.6,67,0.16826
3/11/2021,neutral,0.055759,-0.3,68,-0.004677778
3/12/2021,negative,0.055644,-0.2,69,-0.056642857
3/13/2021,negative,0.061761,9.9,70,-0.13616
3/14/2021,positive,0.058721,-5.2,71,0.0512875
3/15/2021,positive,0.057077,-2.9,72,0.072777778
3/16/2021,neutral,0.058563,2.5,73,-0.0226
3/17/2021,positive,0.057969,-1,74,0.19567
3/18/2021,positive,0.057367,-1,75,0.127755556
3/19/2021,neutral,0.058354,1.7,76,-0.018075
3/20/2021,negative,0.05897,1,77,-0.0548
3/21/2021,negative,0.057634,-2.3,78,-0.322966667
3/22/2021,positive,0.055251,-4.3,79,0.14538
3/23/2021,positive,0.053719,-2.9,80,0.17501
3/24/2021,neutral,0.051558,-4.2,81,0.03494
3/25/2021,positive,0.051302,-0.5,82,0.082875
3/26/2021,positive,0.054069,5.1,83,0.2096375
3/27/2021,positive,0.054512,0.8,84,0.228825
3/28/2021,positive,0.05375,-1.4,85,0.2202
3/29/2021,positive,0.054087,0.6,86,0.10187
3/30/2021,positive,0.054033,-0.1,87,0.093075
3/31/2021,neutral,0.053556,-0.9,88,-0.0316625
4/1/2021,neutral,0.062254,14,89,0.02279
4/2/2021,positive,0.057745,-7.8,90,0.294133333
4/3/2021,positive,0.055707,-3.7,91,0.29295
4/4/2021,neutral,0.057385,2.9,92,0
4/5/2021,positive,0.059825,4.1,93,0.098375
4/6/2021,neutral,0.064343,7,94,-0.012783333
4/7/2021,positive,0.058966,-9.1,95,0.09003
4/8/2021,positive,0.06183,4.6,96,0.1883625
4/9/2021,positive,0.061718,-0.2,97,0.21895
4/11/2021,negative,0.074975,15,98,-0.08684
4/12/2021,neutral,0.071098,-5.5,99,0.0101
4/13/2021,positive,0.094073,24.4,100,0.168928571
4/14/2021,negative,0.121806,22.8,101,-0.104244444
4/15/2021,positive,0.182228,33.2,102,0.208077778
4/16/2021,neutral,0.367862,50.5,103,-0.01752
4/17/2021,positive,0.285787,-28.7,104,0.075271429
4/18/2021,neutral,0.322738,11.4,105,0.030988889
4/19/2021,neutral,0.412332,21.7,106,-0.005160000
4/20/2021,neutral,0.31506,-30.9,107,0.040290909
4/21/2021,neutral,0.306514,-2.8,108,0.04117
4/22/2021,positive,0.26237,-16.8,109,0.10445
4/23/2021,neutral,0.250093,-4.9,110,-0.01581
4/24/2021,negative,0.270863,7.7,111,-0.093857143
4/25/2021,positive,0.251963,-7.5,112,0.210575
4/26/2021,positive,0.271957,7.4,113,0.109511111
4/27/2021,positive,0.273049,0.4,114,0.064177778
4/28/2021,positive,0.323989,15.7,115,0.05439
4/29/2021,positive,0.305621,-6,116,0.06932
4/30/2021,positive,0.340548,10.3,117,0.067466667
5/1/2021,negative,0.392905,13.3,118,-0.057414286
5/2/2021,positive,0.37564,-4.6,119,0.20095
5/3/2021,positive,0.440623,14.7,120,0.08808
5/4/2021,positive,0.53839,18.2,121,0.08302
5/5/2021,neutral,0.648914,17,122,0.0151
5/6/2021,positive,0.584986,-10.9,123,0.08765
5/7/2021,neutral,0.69283,15.6,124,0.01166
5/8/2021,positive,0.639369,-8.4,125,0.10926
5/9/2021,positive,0.572126,-11.8,126,0.0892
5/10/2021,positive,0.451199,-26.8,127,0.17087
5/11/2021,neutral,0.494797,8.8,128,0.03842
5/12/2021,neutral,0.391499,-26.4,129,0.02869
5/13/2021,positive,0.489924,20.1,130,0.18988
