LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,TRUSTGOV,TOT,PC,A,2013,39.14051067,
DNK,TRUSTGOV,TOT,PC,A,2014,45.78369066,
DNK,TRUSTGOV,TOT,PC,A,2015,57.98886425,
DNK,TRUSTGOV,TOT,PC,A,2016,46.76607078,
DNK,TRUSTGOV,TOT,PC,A,2017,57.23533155,
DNK,TRUSTGOV,TOT,PC,A,2018,63.24784592,
DNK,TRUSTGOV,TOT,PC,A,2019,63.29990317,
DNK,TRUSTGOV,TOT,PC,A,2020,71.57975887,
DNK,TRUSTGOV,TOT,PC,A,2021,65.17097161,
DNK,TRUSTGOV,TOT,PC,A,2022,63.53599264,
FIN,TRUSTGOV,TOT,PC,A,2006,75.79262856,
FIN,TRUSTGOV,TOT,PC,A,2008,72.32434526,
FIN,TRUSTGOV,TOT,PC,A,2010,46.18436222,
FIN,TRUSTGOV,TOT,PC,A,2011,56.54023829,
FIN,TRUSTGOV,TOT,PC,A,2012,59.79415988,
FIN,TRUSTGOV,TOT,PC,A,2013,42.05937406,
FIN,TRUSTGOV,TOT,PC,A,2014,46.85588618,
FIN,TRUSTGOV,TOT,PC,A,2015,55.76002853,
FIN,TRUSTGOV,TOT,PC,A,2016,48.57272591,
FIN,TRUSTGOV,TOT,PC,A,2017,59.75385833,
FIN,TRUSTGOV,TOT,PC,A,2018,55.51022126,
FIN,TRUSTGOV,TOT,PC,A,2019,63.9188147,
FIN,TRUSTGOV,TOT,PC,A,2020,80.86328801,
FIN,TRUSTGOV,TOT,PC,A,2021,71.37312499,
FIN,TRUSTGOV,TOT,PC,A,2022,77.54499153,
FRA,TRUSTGOV,TOT,PC,A,2006,32.48835252,
FRA,TRUSTGOV,TOT,PC,A,2007,36.13529111,
FRA,TRUSTGOV,TOT,PC,A,2008,45.26593941,
FRA,TRUSTGOV,TOT,PC,A,2009,47.44488849,
FRA,TRUSTGOV,TOT,PC,A,2010,40.14662273,
FRA,TRUSTGOV,TOT,PC,A,2011,37.50892513,
FRA,TRUSTGOV,TOT,PC,A,2012,44.06253334,
FRA,TRUSTGOV,TOT,PC,A,2013,39.51305269,
FRA,TRUSTGOV,TOT,PC,A,2014,26.38017223,
FRA,TRUSTGOV,TOT,PC,A,2015,32.82526979,
FRA,TRUSTGOV,TOT,PC,A,2016,28.39781576,
FRA,TRUSTGOV,TOT,PC,A,2017,37.47935274,
FRA,TRUSTGOV,TOT,PC,A,2018,38.0547431,
FRA,TRUSTGOV,TOT,PC,A,2019,38.18492358,
FRA,TRUSTGOV,TOT,PC,A,2020,41.0406651,
FRA,TRUSTGOV,TOT,PC,A,2021,43.35204999,
DEU,TRUSTGOV,TOT,PC,A,2006,32.17588027,
DEU,TRUSTGOV,TOT,PC,A,2007,34.976546,
DEU,TRUSTGOV,TOT,PC,A,2008,43.17076212,
DEU,TRUSTGOV,TOT,PC,A,2009,53.34152684,
DEU,TRUSTGOV,TOT,PC,A,2010,39.54240094,
DEU,TRUSTGOV,TOT,PC,A,2011,42.45831309,
DEU,TRUSTGOV,TOT,PC,A,2012,51.69281968,
DEU,TRUSTGOV,TOT,PC,A,2013,55.77606812,
DEU,TRUSTGOV,TOT,PC,A,2014,60.13688612,
DEU,TRUSTGOV,TOT,PC,A,2015,62.80036467,
