,date,vader_prediction
142,2022-07-21 03:46:18+00:00,neutral
143,2022-07-21 03:27:33+00:00,negative
144,2022-07-21 03:01:34+00:00,negative
145,2022-07-22 13:35:52+00:00,neutral
146,2022-07-22 13:18:00+00:00,neutral
147,2022-07-22 13:07:25+00:00,positive
148,2022-07-21 23:48:35+00:00,positive
149,2022-07-21 20:50:26+00:00,positive
150,2022-07-23 12:17:54+00:00,neutral
151,2022-07-23 12:12:22+00:00,positive
152,2022-07-23 12:04:57+00:00,negative
153,2022-07-23 12:01:06+00:00,negative
154,2022-07-22 19:01:32+00:00,neutral
155,2022-07-22 19:00:14+00:00,positive
156,2022-07-24 05:17:02+00:00,positive
157,2022-07-24 04:53:47+00:00,neutral
158,2022-07-24 04:38:07+00:00,neutral
159,2022-07-24 04:34:19+00:00,neutral
160,2022-07-24 04:17:38+00:00,neutral
161,2022-07-24 03:22:13+00:00,positive
162,2022-07-24 02:24:22+00:00,neutral
163,2022-07-24 01:22:12+00:00,positive
164,2022-07-24 01:20:46+00:00,negative
165,2022-07-24 01:18:02+00:00,neutral
166,2022-07-25 22:37:15+00:00,neutral
167,2022-07-25 20:46:46+00:00,neutral
168,2022-07-25 20:40:56+00:00,positive
169,2022-07-25 18:59:51+00:00,neutral
170,2022-07-25 18:16:29+00:00,neutral
171,2022-07-25 18:03:34+00:00,neutral
172,2022-07-25 18:00:01+00:00,positive
173,2022-07-25 17:37:05+00:00,neutral
174,2022-07-25 17:25:26+00:00,positive
175,2022-07-25 17:20:53+00:00,positive
176,2022-07-25 13:20:13+00:00,neutral
177,2022-07-25 13:01:20+00:00,positive
178,2022-07-25 06:10:38+00:00,positive
179,2022-07-25 04:44:41+00:00,neutral
180,2022-07-25 04:04:27+00:00,neutral
181,2022-07-25 02:58:04+00:00,neutral
182,2022-07-25 02:57:17+00:00,neutral
183,2022-07-25 02:32:57+00:00,neutral
184,2022-07-25 02:24:00+00:00,negative
185,2022-07-25 02:09:07+00:00,neutral
186,2022-07-25 02:07:14+00:00,negative
187,2022-07-25 01:59:31+00:00,positive
188,2022-07-25 01:55:25+00:00,negative
189,2022-07-24 22:48:10+00:00,negative
190,2022-07-26 16:11:20+00:00,positive
191,2022-07-26 15:39:30+00:00,negative
192,2022-07-26 10:34:44+00:00,neutral
193,2022-07-26 04:41:41+00:00,positive
194,2022-07-27 16:11:18+00:00,negative
195,2022-07-27 16:07:30+00:00,neutral
196,2022-07-27 15:40:27+00:00,positive
197,2022-07-27 15:38:48+00:00,positive
198,2022-07-27 15:32:22+00:00,neutral
199,2022-07-27 14:41:43+00:00,neutral
200,2022-07-27 14:31:15+00:00,positive
201,2022-07-27 02:40:54+00:00,negative
202,2022-07-27 02:37:36+00:00,neutral
203,2022-07-27 02:15:30+00:00,positive
204,2022-07-27 02:06:37+00:00,positive
205,2022-07-27 01:52:45+00:00,neutral
206,2022-07-27 01:43:29+00:00,negative
207,2022-07-27 01:40:54+00:00,neutral
208,2022-07-27 01:20:11+00:00,positive
209,2022-07-28 03:50:24+00:00,positive
210,2022-07-29 15:12:58+00:00,positive
211,2022-07-29 14:54:06+00:00,negative
212,2022-07-29 14:46:31+00:00,positive
213,2022-07-29 00:37:02+00:00,positive
214,2022-07-29 00:34:55+00:00,positive
215,2022-07-29 00:33:30+00:00,positive
216,2022-07-29 00:32:46+00:00,negative
217,2022-07-29 00:31:32+00:00,neutral
218,2022-07-29 00:29:37+00:00,neutral
219,2022-07-29 00:22:53+00:00,positive
220,2022-07-31 02:28:06+00:00,neutral
221,2022-07-31 02:27:16+00:00,neutral
222,2022-07-30 14:27:22+00:00,positive
223,2022-07-30 14:20:06+00:00,negative
224,2022-07-30 13:51:37+00:00,negative
225,2022-07-30 07:10:13+00:00,neutral
226,2022-07-30 03:14:03+00:00,neutral
227,2022-07-30 02:13:42+00:00,positive
228,2022-07-30 01:46:25+00:00,neutral
229,2022-07-30 00:23:46+00:00,positive
230,2022-07-30 00:19:27+00:00,positive
231,2022-07-29 23:04:22+00:00,positive
232,2022-07-31 22:32:36+00:00,neutral
233,2022-07-31 14:22:14+00:00,positive
234,2022-07-31 14:11:35+00:00,positive
235,2022-08-01 22:19:04+00:00,neutral
236,2022-08-01 17:48:26+00:00,neutral
237,2022-08-01 17:28:24+00:00,neutral
238,2022-08-01 07:31:08+00:00,positive
239,2022-08-01 06:24:54+00:00,neutral
240,2022-08-01 06:23:56+00:00,positive
241,2022-08-01 06:18:39+00:00,neutral
242,2022-08-01 06:17:05+00:00,positive
243,2022-08-01 06:05:29+00:00,neutral
244,2022-08-02 22:00:38+00:00,positive
245,2022-08-02 19:24:03+00:00,neutral
246,2022-08-02 05:15:23+00:00,positive
247,2022-08-02 23:52:48+00:00,positive
248,2022-08-02 23:52:03+00:00,positive
249,2022-08-02 22:32:55+00:00,neutral
250,2022-08-04 18:04:12+00:00,neutral
251,2022-08-04 16:24:08+00:00,neutral
252,2022-08-04 16:23:00+00:00,positive
253,2022-08-04 16:21:03+00:00,neutral
254,2022-08-04 16:19:18+00:00,positive
255,2022-08-04 15:49:09+00:00,negative
256,2022-08-05 18:56:10+00:00,neutral
257,2022-08-05 15:13:31+00:00,neutral
258,2022-08-05 06:34:11+00:00,positive
259,2022-08-06 16:18:59+00:00,neutral
260,2022-08-06 16:15:29+00:00,positive
261,2022-08-06 08:19:57+00:00,neutral
262,2022-08-06 08:12:24+00:00,positive
263,2022-08-06 08:05:49+00:00,neutral
264,2022-08-06 07:50:16+00:00,positive
265,2022-08-06 06:13:25+00:00,positive
266,2022-08-06 05:54:36+00:00,neutral
267,2022-08-06 01:23:22+00:00,neutral
268,2022-08-07 18:36:25+00:00,neutral
269,2022-08-07 07:32:26+00:00,neutral
270,2022-08-06 20:58:02+00:00,positive
271,2022-08-06 20:51:30+00:00,neutral
272,2022-08-08 18:37:32+00:00,positive
273,2022-08-08 16:56:29+00:00,neutral
274,2022-08-08 15:14:15+00:00,neutral
275,2022-08-07 22:28:11+00:00,neutral
276,2022-08-10 03:05:02+00:00,positive
277,2022-08-10 02:59:22+00:00,neutral
278,2022-08-10 02:53:29+00:00,positive
279,2022-08-09 20:34:56+00:00,neutral
280,2022-08-09 20:18:09+00:00,neutral
281,2022-08-09 14:32:57+00:00,neutral
282,2022-08-10 05:34:46+00:00,neutral
283,2022-08-10 05:28:01+00:00,positive
284,2022-08-10 05:25:19+00:00,neutral
285,2022-08-10 05:20:12+00:00,neutral
286,2022-08-11 19:46:38+00:00,negative
287,2022-08-11 16:23:10+00:00,negative
288,2022-08-11 16:11:06+00:00,positive
289,2022-08-11 16:09:19+00:00,positive
290,2022-08-11 05:40:45+00:00,neutral
291,2022-08-11 05:35:55+00:00,positive
292,2022-08-11 04:20:08+00:00,neutral
293,2022-08-11 03:37:12+00:00,negative
294,2022-08-11 03:33:14+00:00,negative
295,2022-08-12 20:04:32+00:00,negative
296,2022-08-12 19:58:59+00:00,neutral
297,2022-08-12 18:23:27+00:00,positive
298,2022-08-12 05:08:20+00:00,neutral
299,2022-08-12 04:14:03+00:00,neutral
